D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta Efb1,G + Efb1,Aresta Efb2,G + Efb2,Arestas Efb*,G + Efb*,Aresta Ehp1,G + Ehp1,Aresta Ehp2,G + Ehp2,Aresta Ehe1,G + Ehe1,Aresta Ehe2,G + Ehe2,Melhor Heurística
9,12,1,3,"T(12, 9, 1)",0.075199799793,"(2, 9)",0.305724613392,"(5, 9)",0.44834607272975202,"[(2, 9), (5, 9)]",0.44834607273,"(1, 10)",0.251742434695,"(4, 11)",0.38196601125,"(1, 9)",0.260435571805,"(4, 9)",0.437454168714,HE
9,13,1,4,"T(13, 9, 1)",0.068912327086,"(3, 9)",0.282415658448,"(1, 9)",0.34326222308680832,"[(2, 9), (5, 10)]",0.445122078895,"(1, 10)",0.223610067325,"(4, 11)",0.38196601125,"(1, 9)",0.238200498167,"(4, 9)",0.42260414094,HE
9,14,1,5,"T(14, 9, 1)",0.06427618204,"(3, 9)",0.272704129249,"(2, 10)",0.33012465838535204,"[(2, 9), (5, 9)]",0.43662687618,"(1, 10)",0.204289286646,"(4, 11)",0.38196601125,"(1, 9)",0.222163260228,"(4, 9)",0.407956093032,HE
9,15,1,6,"T(15, 9, 1)",0.060721266037,"(3, 9)",0.262543336688,"(2, 10)",0.32120379028431073,"[(2, 9), (5, 9)]",0.428592798145,"(1, 10)",0.19016836209,"(4, 11)",0.357666171884,"(1, 9)",0.210022354913,"(4, 9)",0.394628848019,HE
9,16,1,7,"T(16, 9, 1)",0.057910925067,"(3, 9)",0.253132044089,"(2, 10)",0.3124484706021301,"[(2, 9), (5, 9)]",0.419855346638,"(1, 10)",0.179383261111,"(4, 11)",0.333426017175,"(1, 9)",0.200499567268,"(4, 9)",0.382940494621,HE
9,17,1,8,"T(17, 9, 1)",0.055634390768,"(3, 9)",0.244854213285,"(2, 10)",0.30425473740668635,"[(2, 9), (5, 9)]",0.411143399989,"(1, 10)",0.170870243657,"(4, 11)",0.314883862237,"(1, 9)",0.192824488769,"(4, 9)",0.372816031342,HE
9,18,1,9,"T(18, 9, 1)",0.053753267252,"(3, 9)",0.237690776991,"(2, 10)",0.29679670174185052,"[(2, 9), (5, 9)]",0.402924542225,"(1, 10)",0.163976360201,"(4, 11)",0.300208822292,"(1, 9)",0.186503727557,"(4, 9)",0.364055567965,HE
9,19,1,10,"T(19, 9, 1)",0.052173042902,"(3, 9)",0.231501556693,"(2, 10)",0.29010269035500635,"[(2, 9), (5, 9)]",0.39539695361,"(1, 10)",0.158277930674,"(4, 11)",0.288288785966,"(1, 9)",0.181206071269,"(4, 9)",0.356446034118,HE
9,20,1,11,"T(20, 9, 1)",0.050827026663,"(3, 9)",0.226131921907,"(2, 9)",0.28478309125500562,"[(2, 9), (5, 9)]",0.388596872336,"(1, 10)",0.153487726268,"(4, 11)",0.278405544666,"(1, 9)",0.176700632194,"(4, 9)",0.349797655495,HE
10,11,1,1,"T(11, 10, 1)",0.081014052771,"(1, 11)",0.317492934338,"(1, 3)",0.31749293433763925,"[(1, 8), (4, 11)]",0.585786437627,"(1, 11)",0.317492934338,"(1, 6)",0.317492934338,"(1, 10)",0.296803917995,"(5, 10)",0.38196601125,HE
10,12,1,2,"T(12, 10, 1)",0.070228350746,"(2, 11)",0.292331483096,"(6, 11)",0.30350511294912375,"[(1, 9), (4, 11)]",0.415405317622,"(1, 11)",0.254542648509,"(4, 12)",0.316115900123,"(1, 10)",0.251742434695,"(5, 10)",0.38196601125,HE
10,13,1,3,"T(13, 10, 1)",0.06292256472,"(3, 10)",0.267949192431,"(1, 7)",0.3135552840929865,"[(2, 10), (6, 11)]",0.393369458225,"(1, 11)",0.217873755528,"(4, 12)",0.313986965519,"(1, 10)",0.223610067325,"(5, 10)",0.38196601125,HE
10,14,1,4,"T(14, 10, 1)",0.057694576991,"(3, 10)",0.267949192431,"(1, 7)",0.28401832293749424,"[(2, 10), (6, 11)]",0.38518477522,"(1, 11)",0.194025818971,"(4, 12)",0.310446615151,"(1, 10)",0.204289286646,"(5, 10)",0.38196601125,HE
10,15,1,5,"T(15, 10, 1)",0.053784112878,"(3, 10)",0.262900255584,"(4, 10)",0.26794919243112308,"[(1, 10), (5, 10)]",0.38196601125,"(1, 11)",0.177282464849,"(4, 12)",0.304303229684,"(1, 10)",0.19016836209,"(5, 10)",0.38196601125,HE
10,16,1,6,"T(16, 10, 1)",0.050754975666,"(3, 10)",0.247006570574,"(4, 10)",0.2679491924311232,"[(1, 10), (5, 10)]",0.38196601125,"(1, 11)",0.164876747203,"(4, 12)",0.2945365932,"(1, 10)",0.179383261111,"(5, 10)",0.38196601125,HE
10,17,1,7,"T(17, 10, 1)",0.04834208768,"(3, 10)",0.234592157155,"(4, 10)",0.26794919243112325,"[(1, 10), (5, 10)]",0.37350213752,"(1, 11)",0.155313274216,"(4, 12)",0.282362236533,"(1, 10)",0.170870243657,"(5, 10)",0.37350213752,HE
10,18,1,8,"T(18, 10, 1)",0.046376063285,"(3, 10)",0.224617434486,"(4, 10)",0.26794919243112236,"[(2, 10), (5, 10)]",0.366155942825,"(1, 11)",0.14771374728,"(4, 12)",0.270204677022,"(1, 10)",0.163976360201,"(5, 10)",0.359781386957,HE
10,19,1,9,"T(19, 10, 1)",0.044743970154,"(3, 10)",0.216422320414,"(4, 10)",0.26794919243112209,"[(2, 10), (5, 10)]",0.361225607942,"(1, 11)",0.141528374908,"(4, 12)",0.259280580584,"(1, 10)",0.158277930674,"(5, 10)",0.348419303866,HE
10,20,1,10,"T(20, 10, 1)",0.043367771946,"(3, 10)",0.209566582665,"(4, 10)",0.26794919243112192,"[(2, 10), (5, 10)]",0.355552120229,"(1, 11)",0.136395325991,"(4, 12)",0.249799688575,"(1, 10)",0.153487726268,"(5, 10)",0.338849268036,HE
11,12,1,1,"T(12, 11, 1)",0.068148347422,"(1, 12)",0.267949192431,"(1, 3)",0.2679491924311227,"[(1, 8), (4, 12)]",0.438447187191,"(1, 12)",0.267949192431,"(1, 7)",0.267949192431,"(1, 11)",0.254542648509,"(5, 11)",0.315585711438,HE
11,13,1,2,"T(13, 11, 1)",0.059529695025,"(2, 12)",0.245869490938,"(1, 3)",0.2679491924311227,"[(1, 10), (5, 11)]",0.38196601125,"(1, 12)",0.220121359008,"(5, 13)",0.267949192431,"(1, 11)",0.217873755528,"(5, 11)",0.313220960267,HE
